碞穨计参璸戈,,,,,,
,郡カ,参璸兜ヘ,虫,い穨,穨,現 ┎沟ノ
2013,羆璸,碞穨计,,8588,1359,1020
2013,籓カ,碞穨计,,843,239,161
2013,穝カ,碞穨计,,1592,157,161
2013,堕郡,碞穨计,,695,197,63
2013,籓いカ,碞穨计,,1066,109,102
2013,籓玭カ,碞穨计,,730,114,81
2013,蔼动カ,碞穨计,,998,174,121
2013,膀订カ,碞穨计,,144,9,21
2013,﹜孽郡,碞穨计,,178,14,25
2013,穝λカ,碞穨计,,124,57,17
2013,穝λ郡,碞穨计,,144,79,15
2013,璢郡,碞穨计,,187,49,25
2013,裹て郡,碞穨计,,533,45,41
2013,玭щ郡,碞穨计,,211,14,28
2013,冻狶郡,碞穨计,,266,35,32
2013,古竡カ,碞穨计,,90,12,19
2013,古竡郡,碞穨计,,219,20,17
2013,狥郡,碞穨计,,337,20,43
2013,缄打郡,碞穨计,,28,1,12
2013,浆郡,碞穨计,,114,11,22
2013,籓狥郡,碞穨计,,88,2,14
2014,羆璸,碞穨计,,6329,1385,1023
2014,籓カ,碞穨计,,1132,301,252
2014,穝カ,碞穨计,,1059,132,108
2014,堕カ,碞穨计,,583,220,69
2014,籓いカ,碞穨计,,877,118,100
2014,籓玭カ,碞穨计,,502,115,67
2014,蔼动カ,碞穨计,,742,171,121
2014,膀订カ,碞穨计,,62,5,19
2014,﹜孽郡,碞穨计,,97,7,22
2014,穝λカ,碞穨计,,128,111,21
2014,穝λ郡,碞穨计,,105,60,16
2014,璢郡,碞穨计,,94,37,24
2014,裹て郡,碞穨计,,299,33,34
2014,玭щ郡,碞穨计,,94,7,25
2014,冻狶郡,碞穨计,,110,33,27
2014,古竡カ,碞穨计,,64,7,17
2014,古竡郡,碞穨计,,75,11,19
2014,狥郡,碞穨计,,151,8,34
2014,缄打郡,碞穨计,,13,0,11
2014,浆郡,碞穨计,,57,8,23
2014,籓狥郡,碞穨计,,38,1,14
2014,皑,碞穨计,,1,-,0
2014,ㄤ,碞穨计,,47,-,-
2015,羆璸,碞穨计,,11198,8759,1415
2015,籓カ,碞穨计,,1913,1360,303
2015,穝カ,碞穨计,,1607,1370,127
2015,堕カ,碞穨计,,1035,732,232
2015,籓いカ,碞穨计,,1410,1188,125
2015,籓玭カ,碞穨计,,937,749,119
2015,蔼动カ,碞穨计,,1316,1022,173
2015,膀订カ,碞穨计,,108,86,5
2015,﹜孽郡,碞穨计,,180,153,7
2015,穝λカ,碞穨计,,296,164,112
2015,穝λ郡,碞穨计,,232,154,62
2015,璢郡,碞穨计,,211,142,46
2015,裹て郡,碞穨计,,525,458,31
2015,玭щ郡,碞穨计,,211,177,9
2015,冻狶郡,碞穨计,,281,223,30
2015,古竡カ,碞穨计,,115,92,7
2015,古竡郡,碞穨计,,196,167,11
2015,狥郡,碞穨计,,308,263,10
2015,缄打郡,碞穨计,,33,23,0
2015,浆郡,碞穨计,,130,101,6
2015,籓狥郡,碞穨计,,90,73,2
2015,皑,碞穨计,,1,1,-
2015,ㄤ,碞穨计,,62,62,-
